Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.CompactDamage,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,HelperConfig.MythologicalRitual,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,HelperConfig.Jerry,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,HelperConfig.Experiments,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,HelperConfig.Fishing,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,HelperConfig.FairySouls,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,HelperConfig.ChocolateFactory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.DungeonMap,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.PuzzleSolvers,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.TheProfessor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.Livid,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.Terminals,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.SecretWaypoints,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.MimicMessage,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.DoorHighlight,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.DungeonScore,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,DungeonsConfig.DungeonChestProfit,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,MiningConfig.DwarvenMines,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,MiningConfig.DwarvenHud,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,MiningConfig.CrystalHollows,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,MiningConfig.CrystalsHud,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,MiningConfig.CrystalsWaypoints,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,MiningConfig.CommissionWaypoints,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,MiningConfig.Glacite,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,OtherLocationsConfig.Barn,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,OtherLocationsConfig.Rift,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,OtherLocationsConfig.TheEnd,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,OtherLocationsConfig.SpidersDen,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,OtherLocationsConfig.Relics,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,FarmingConfig.Garden,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,FarmingConfig.FarmingHud,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,ForagingConfig.Hunting,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,CrimsonIsleConfig.Kuudra,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,CrimsonIsleConfig.Dojo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,ChatConfig.ChatRuleConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,QuickNavigationConfig.QuickNavItem,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,QuickNavigationConfig.ItemData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,SlayersConfig.EndermanSlayer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,SlayersConfig.VampireSlayer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.Shortcuts,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.QuiverWarning,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.ItemList,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.ItemTooltip,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.ItemInfoDisplay,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.ItemProtection,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.WikiLookup,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.SpecialEffects,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,GeneralConfig.Hitbox,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,MiscConfig.RichPresence,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.utils.discord,DiscordRPCManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DECIMAL_FORMAT; LOGGER; updateTask; startTimeStamp; cycleCount
forkassn3,de.hysky.skyblocker.utils.render,SkyblockerRenderLayers,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FILLED; FILLED_THROUGH_WALLS
forkassn3,de.hysky.skyblocker.utils.render.gui,AbstractPopupScreen.EnterConfirmTextFieldWidget,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.events,DungeonEvents,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PUZZLE_MATCHED; ROOM_MATCHED
forkassn3,de.hysky.skyblocker.events,SkyblockEvents,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JOIN; LEAVE; LOCATION_CHANGE; PROFILE_CHANGE
forkassn3,de.hysky.skyblocker.events,HudRenderEvents,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: AFTER_MAIN_HUD; BEFORE_CHAT; LAST
